date,cash_rate,scrape_date,scrape_time
2025-05-01,4,2025-05-19,2025-05-20T06:28:05Z
2025-06-01,3.8299999999999983,2025-05-19,2025-05-20T06:28:05Z
2025-07-01,3.7150000000000034,2025-05-19,2025-05-20T06:28:05Z
2025-08-01,3.6299999999999955,2025-05-19,2025-05-20T06:28:05Z
2025-09-01,3.4650000000000034,2025-05-19,2025-05-20T06:28:05Z
2025-10-01,3.4849999999999994,2025-05-19,2025-05-20T06:28:05Z
2025-11-01,3.3049999999999926,2025-05-19,2025-05-20T06:28:05Z
2025-12-01,3.2150000000000034,2025-05-19,2025-05-20T06:28:05Z
2026-01-01,3.3400000000000034,2025-05-19,2025-05-20T06:28:05Z
2026-02-01,3.049999999999997,2025-05-19,2025-05-20T06:28:05Z
2026-03-01,NA,2025-05-19,2025-05-20T06:28:05Z
2026-04-01,NA,2025-05-19,2025-05-20T06:28:05Z
2026-05-01,NA,2025-05-19,2025-05-20T06:28:05Z
2026-06-01,NA,2025-05-19,2025-05-20T06:28:05Z
2026-07-01,NA,2025-05-19,2025-05-20T06:28:05Z
2026-08-01,NA,2025-05-19,2025-05-20T06:28:05Z
2026-09-01,NA,2025-05-19,2025-05-20T06:28:05Z
2026-10-01,NA,2025-05-19,2025-05-20T06:28:05Z
