dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-11-26,2025-11-14,2025-11-13,96.405,96.4,0,0,-0.005,-0.005,96.4,97.125,96.4,96.4,96.405,1659,1659,888966960,IBX2025,2025-11-01,2025-11-13,2025-11-14T01:14:51Z,3.5999999999999943
2025-12-29,2025-11-13,2025-11-13,96.41,96.405,-0.01999999999999602,-0.020741508944771607,-0.02,-0.021,96.405,97.19,96.405,96.405,96.41,4706,4706,895208763,IBZ2025,2025-12-01,2025-11-13,2025-11-14T01:14:51Z,3.594999999999999
2026-01-28,2025-11-13,2025-11-13,96.415,96.41,-0.030000000000001137,-0.031107424305268704,-0.02,-0.021,96.41,97.105,96.41,96.41,96.41,262,262,919010878,IBF2026,2026-01-01,2025-11-13,2025-11-14T01:14:51Z,3.5900000000000034
2026-02-25,2025-11-14,2025-11-13,96.44500000000001,96.435,-0.05500000000000682,-0.05699777190528713,0.005,0.005,96.44,97.065,96.42,96.44,96.435,1,1,928464846,IBG2026,2026-02-01,2025-11-13,2025-11-14T01:14:51Z,3.5600000000000023
2026-03-29,2025-11-13,2025-11-13,96.46000000000001,96.44500000000001,-0.07500000000000284,-0.07770007770008064,-0.035,-0.036000000000000004,96.45,97.105,96.435,96.45,96.44,53,53,935346173,IBH2026,2026-03-01,2025-11-13,2025-11-14T01:14:51Z,3.549999999999997
2026-04-28,2025-11-13,2025-11-13,96.47500000000001,96.46000000000001,-0.06499999999999773,-0.0673435557397407,-0.05,-0.052000000000000005,96.455,96.925,96.44,96.455,96.46000000000001,510,510,941648808,IBJ2026,2026-04-01,2025-11-13,2025-11-14T01:14:51Z,3.5450000000000017
2026-05-27,2025-11-13,2025-11-13,96.515,96.485,-0.09499999999998465,-0.09835895843038221,-0.06,-0.062,96.49000000000001,97.015,96.49000000000001,96.49000000000001,96.485,5,5,949242588,IBK2026,2026-05-01,2025-11-13,2025-11-14T01:14:51Z,3.509999999999991
2026-06-28,2025-07-21,2025-11-13,96.52,96.49000000000001,0.3750000000000142,0.3881987577639899,NA,NA,96.97500000000001,96.97500000000001,96.97500000000001,96.97500000000001,96.49000000000001,0,0,955528239,IBM2026,2026-06-01,2025-11-13,2025-11-14T01:14:51Z,3.509999999999991
2026-07-29,NA,2025-11-13,96.52,96.49000000000001,NA,0,NA,NA,NA,NA,NA,NA,96.49000000000001,0,0,962344067,IBN2026,2026-07-01,2025-11-13,2025-11-14T01:14:51Z,NA
2026-08-29,NA,2025-11-13,96.51,96.48,NA,0,NA,NA,NA,NA,NA,NA,96.48,0,0,969160575,IBQ2026,2026-08-01,2025-11-13,2025-11-14T01:14:51Z,NA
2026-09-28,2025-11-04,2025-11-13,96.505,96.47500000000001,-0.024999999999991473,-0.025875899187487943,-0.02,-0.021,96.59,96.86500000000001,96.59,96.59,96.47500000000001,0,0,976225343,IBU2026,2026-09-01,2025-11-13,2025-11-14T01:14:51Z,3.5249999999999915
2026-10-28,2025-11-04,2025-11-13,96.495,96.465,-0.030000000000001137,-0.03105268605734514,-0.035,-0.036000000000000004,96.58,96.86500000000001,96.58,96.58,96.46000000000001,0,0,983956682,IBV2026,2026-10-01,2025-11-13,2025-11-14T01:14:51Z,3.539999999999992
2026-11-28,2025-11-04,2025-11-13,96.48,96.45,-0.025000000000005684,-0.025878577713374755,-0.03,-0.031,96.58,96.86500000000001,96.58,96.58,96.44500000000001,0,0,990482019,IBX2026,2026-11-01,2025-11-13,2025-11-14T01:14:51Z,3.5549999999999926
2026-12-29,2025-11-04,2025-11-13,96.465,96.435,-0.03999999999999204,-0.04140786749481578,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.425,0,0,996839036,IBZ2026,2026-12-01,2025-11-13,2025-11-14T01:14:51Z,3.575000000000003
2027-01-27,NA,2025-11-13,96.455,96.425,NA,0,NA,NA,NA,NA,NA,NA,96.42,0,0,1004041830,IBF2027,2027-01-01,2025-11-13,2025-11-14T01:14:51Z,NA
2027-02-24,NA,2025-11-13,96.435,96.405,NA,0,NA,NA,NA,NA,NA,NA,96.4,0,0,1010033436,IBG2027,2027-02-01,2025-11-13,2025-11-14T01:14:51Z,NA
2027-03-29,NA,2025-11-13,96.42,96.39,NA,0,NA,NA,NA,NA,NA,NA,96.385,0,0,1016946091,IBH2027,2027-03-01,2025-11-13,2025-11-14T01:14:51Z,NA
2027-04-28,NA,2025-11-13,96.405,96.375,NA,0,NA,NA,NA,NA,NA,NA,96.37,0,0,1026315950,IBJ2027,2027-04-01,2025-11-13,2025-11-14T01:14:51Z,NA
