date,cash_rate,scrape_date,scrape_time
2025-10-01,3.594999999999999,2025-10-08,2025-10-09T04:58:56Z
2025-11-01,3.5049999999999955,2025-10-08,2025-10-09T04:58:56Z
2025-12-01,3.469999999999999,2025-10-08,2025-10-09T04:58:56Z
2026-01-01,3.444999999999993,2025-10-08,2025-10-09T04:58:56Z
2026-02-01,3.405000000000001,2025-10-08,2025-10-09T04:58:56Z
2026-03-01,3.3799999999999955,2025-10-08,2025-10-09T04:58:56Z
2026-04-01,3.3599999999999994,2025-10-08,2025-10-09T04:58:56Z
2026-05-01,2.9849999999999994,2025-10-08,2025-10-09T04:58:56Z
2026-06-01,3.0249999999999915,2025-10-08,2025-10-09T04:58:56Z
2026-07-01,3.280000000000001,2025-10-08,2025-10-09T04:58:56Z
2026-08-01,3.280000000000001,2025-10-08,2025-10-09T04:58:56Z
2026-09-01,3.280000000000001,2025-10-08,2025-10-09T04:58:56Z
2026-10-01,3.2849999999999966,2025-10-08,2025-10-09T04:58:56Z
2026-11-01,3.2950000000000017,2025-10-08,2025-10-09T04:58:56Z
2026-12-01,3.3049999999999926,2025-10-08,2025-10-09T04:58:56Z
2027-01-01,3.3049999999999926,2025-10-08,2025-10-09T04:58:56Z
2027-02-01,3.319999999999993,2025-10-08,2025-10-09T04:58:56Z
2027-03-01,3.3299999999999983,2025-10-08,2025-10-09T04:58:56Z
