dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-04-28,2026-04-14,2026-04-15,95.905,95.9,0,0,0,0,95.905,96.925,95.905,95.905,95.905,0,0,941648808,IBJ2026,2026-04-01,2026-04-15,2026-04-15T23:07:02Z,4.094999999999999,4.094999999999999
2026-05-27,2026-04-15,2026-04-15,95.76,95.755,-0.009999999999990905,-0.010441683199322236,0,0,95.76,97.015,95.75,95.76,95.76,200,200,949242588,IBK2026,2026-05-01,2026-04-15,2026-04-15T23:07:02Z,4.239999999999995,4.239999999999995
2026-06-28,2026-04-15,2026-04-15,95.71000000000001,95.685,-0.015000000000000568,-0.01566906925728671,0.005,0.005,95.715,96.97500000000001,95.69500000000001,95.715,95.705,2,2,955528239,IBM2026,2026-06-01,2026-04-15,2026-04-15T23:07:02Z,4.284999999999997,4.295000000000002
2026-07-29,2026-04-15,2026-04-15,95.675,95.65,-0.01999999999999602,-0.020899733528393357,-0.005,-0.005,95.675,96.075,95.675,95.675,95.675,75,75,962344067,IBN2026,2026-07-01,2026-04-15,2026-04-15T23:07:02Z,4.325000000000003,4.325000000000003
2026-08-29,2026-04-14,2026-04-15,95.58,95.555,-0.0049999999999954525,-0.005230672664499898,0.035,0.037,95.58500000000001,96.15,95.58500000000001,95.58500000000001,95.575,0,0,969160575,IBQ2026,2026-08-01,2026-04-15,2026-04-15T23:07:02Z,4.424999999999997,4.424999999999997
2026-09-28,2026-04-14,2026-04-15,95.525,95.51,-0.030000000000001137,-0.03140210394096524,0.015,0.016,95.505,96.86500000000001,95.505,95.505,95.52,0,0,976225343,IBU2026,2026-09-01,2026-04-15,2026-04-15T23:07:02Z,4.480000000000004,4.480000000000004
2026-10-28,2026-04-02,2026-04-15,95.46000000000001,95.43,-0.06499999999999773,-0.06808778086209367,-0.06,-0.063,95.4,96.86500000000001,95.4,95.4,95.44500000000001,0,0,983956682,IBV2026,2026-10-01,2026-04-15,2026-04-15T23:07:02Z,4.554999999999993,4.554999999999993
2026-11-28,2026-04-15,2026-04-15,95.395,95.365,0.005000000000009663,0.005242189138194238,0.03,0.031,95.385,96.86500000000001,95.38,95.385,95.38,50,50,990482019,IBX2026,2026-11-01,2026-04-15,2026-04-15T23:07:02Z,4.614999999999995,4.6200000000000045
2026-12-29,2026-04-07,2026-04-15,95.385,95.355,0,0,0.065,0.068,95.36,96.86500000000001,95.36,95.36,95.385,0,0,996839036,IBZ2026,2026-12-01,2026-04-15,2026-04-15T23:07:02Z,4.614999999999995,4.614999999999995
2027-01-27,NA,2026-04-15,95.385,95.355,NA,0,NA,NA,NA,NA,NA,NA,95.37,0,0,1004041830,IBF2027,2027-01-01,2026-04-15,2026-04-15T23:07:02Z,4.6299999999999955,4.6299999999999955
2027-02-24,NA,2026-04-15,95.39,95.36,NA,0,NA,NA,NA,NA,NA,NA,95.375,0,0,1010033436,IBG2027,2027-02-01,2026-04-15,2026-04-15T23:07:02Z,4.625,4.625
2027-03-29,NA,2026-04-15,95.39,95.36,NA,0,NA,NA,NA,NA,NA,NA,95.38,0,0,1016946091,IBH2027,2027-03-01,2026-04-15,2026-04-15T23:07:02Z,4.6200000000000045,4.6200000000000045
2027-04-28,NA,2026-04-15,95.395,95.365,NA,0,NA,NA,NA,NA,NA,NA,95.39,0,0,1026315950,IBJ2027,2027-04-01,2026-04-15,2026-04-15T23:07:02Z,4.609999999999999,4.609999999999999
2027-05-29,NA,2026-04-15,95.415,95.385,NA,0,NA,NA,NA,NA,NA,NA,95.41,0,0,1033478754,IBK2027,2027-05-01,2026-04-15,2026-04-15T23:07:02Z,4.590000000000003,4.590000000000003
2027-06-28,NA,2026-04-15,95.43,95.4,NA,0,NA,NA,NA,NA,NA,NA,95.42,0,0,1041047069,IBM2027,2027-06-01,2026-04-15,2026-04-15T23:07:02Z,4.579999999999998,4.579999999999998
2027-07-28,NA,2026-04-15,95.46000000000001,95.43,NA,0,NA,NA,NA,NA,NA,NA,95.44500000000001,0,0,1048381155,IBN2027,2027-07-01,2026-04-15,2026-04-15T23:07:02Z,4.554999999999993,4.554999999999993
2027-08-29,NA,2026-04-15,95.48,95.45,NA,0,NA,NA,NA,NA,NA,NA,95.465,0,0,1056394462,IBQ2027,2027-08-01,2026-04-15,2026-04-15T23:07:02Z,4.534999999999997,4.534999999999997
2027-09-28,NA,2026-04-15,95.49,95.46000000000001,NA,0,NA,NA,NA,NA,NA,NA,95.48,0,0,1065438498,IBU2027,2027-09-01,2026-04-15,2026-04-15T23:07:02Z,4.519999999999996,4.519999999999996
