date,cash_rate,scrape_date,scrape_time
2025-09-01,3.594999999999999,2025-09-23,2025-09-24T01:09:10Z
2025-10-01,3.5849999999999937,2025-09-23,2025-09-24T01:09:10Z
2025-11-01,3.424999999999997,2025-09-23,2025-09-24T01:09:10Z
2025-12-01,3.3599999999999994,2025-09-23,2025-09-24T01:09:10Z
2026-01-01,3.325000000000003,2025-09-23,2025-09-24T01:09:10Z
2026-02-01,3.1850000000000023,2025-09-23,2025-09-24T01:09:10Z
2026-03-01,3.174999999999997,2025-09-23,2025-09-24T01:09:10Z
2026-04-01,3.075000000000003,2025-09-23,2025-09-24T01:09:10Z
2026-05-01,2.9849999999999994,2025-09-23,2025-09-24T01:09:10Z
2026-06-01,3.0249999999999915,2025-09-23,2025-09-24T01:09:10Z
2026-07-01,3.125,2025-09-23,2025-09-24T01:09:10Z
2026-08-01,3.125,2025-09-23,2025-09-24T01:09:10Z
2026-09-01,3.125,2025-09-23,2025-09-24T01:09:10Z
2026-10-01,3.1299999999999955,2025-09-23,2025-09-24T01:09:10Z
2026-11-01,3.134999999999991,2025-09-23,2025-09-24T01:09:10Z
2026-12-01,3.144999999999996,2025-09-23,2025-09-24T01:09:10Z
2027-01-01,3.144999999999996,2025-09-23,2025-09-24T01:09:10Z
2027-02-01,3.1599999999999966,2025-09-23,2025-09-24T01:09:10Z
