date,cash_rate,scrape_date,scrape_time
2024-12-01,4.325000000000003,2024-12-04,2024-12-04T12:00:00Z
2025-01-01,4.319999999999993,2024-12-04,2024-12-04T12:00:00Z
2025-02-01,4.280000000000001,2024-12-04,2024-12-04T12:00:00Z
2025-03-01,4.204999999999998,2024-12-04,2024-12-04T12:00:00Z
2025-04-01,4.090000000000003,2024-12-04,2024-12-04T12:00:00Z
2025-05-01,4.030000000000001,2024-12-04,2024-12-04T12:00:00Z
2025-06-01,3.9350000000000023,2024-12-04,2024-12-04T12:00:00Z
2025-07-01,3.870000000000005,2024-12-04,2024-12-04T12:00:00Z
2025-08-01,3.789999999999992,2024-12-04,2024-12-04T12:00:00Z
2025-09-01,3.765000000000001,2024-12-04,2024-12-04T12:00:00Z
2025-10-01,3.719999999999999,2024-12-04,2024-12-04T12:00:00Z
2025-11-01,3.6700000000000017,2024-12-04,2024-12-04T12:00:00Z
2025-12-01,3.629999999999995,2024-12-04,2024-12-04T12:00:00Z
2026-01-01,3.614999999999995,2024-12-04,2024-12-04T12:00:00Z
2026-02-01,3.5799999999999983,2024-12-04,2024-12-04T12:00:00Z
2026-03-01,3.5600000000000023,2024-12-04,2024-12-04T12:00:00Z
2026-04-01,3.5450000000000017,2024-12-04,2024-12-04T12:00:00Z
2026-05-01,3.5249999999999915,2024-12-04,2024-12-04T12:00:00Z
