date,cash_rate,scrape_date,scrape_time
2025-08-01,3.6850000000000023,2025-08-12,2025-08-12T23:50:46Z
2025-09-01,3.5900000000000034,2025-08-12,2025-08-12T23:50:46Z
2025-10-01,3.5,2025-08-12,2025-08-12T23:50:46Z
2025-11-01,3.325000000000003,2025-08-12,2025-08-12T23:50:46Z
2025-12-01,3.2349999999999994,2025-08-12,2025-08-12T23:50:46Z
2026-01-01,3.2150000000000034,2025-08-12,2025-08-12T23:50:46Z
2026-02-01,2.9599999999999937,2025-08-12,2025-08-12T23:50:46Z
2026-03-01,3.0799999999999983,2025-08-12,2025-08-12T23:50:46Z
2026-04-01,3.075000000000003,2025-08-12,2025-08-12T23:50:46Z
2026-05-01,2.9849999999999994,2025-08-12,2025-08-12T23:50:46Z
2026-06-01,3.0249999999999915,2025-08-12,2025-08-12T23:50:46Z
2026-07-01,3.0150000000000006,2025-08-12,2025-08-12T23:50:46Z
2026-08-01,3.0150000000000006,2025-08-12,2025-08-12T23:50:46Z
2026-09-01,3.0150000000000006,2025-08-12,2025-08-12T23:50:46Z
2026-10-01,3.0150000000000006,2025-08-12,2025-08-12T23:50:46Z
2026-11-01,3.019999999999996,2025-08-12,2025-08-12T23:50:46Z
2026-12-01,3.0249999999999915,2025-08-12,2025-08-12T23:50:46Z
2027-01-01,3.0249999999999915,2025-08-12,2025-08-12T23:50:46Z
