dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-03-29,2026-03-19,2026-03-19,96.04,96.035,-0.029999999999986926,-0.03122723014467256,0,0,96.04,97.105,96.035,96.04,96.04,22,22,935346173,IBH2026,2026-03-01,2026-03-19,2026-03-20T04:43:40Z,3.9599999999999937,3.9599999999999937
2026-04-28,2026-03-19,2026-03-19,95.905,95.9,-0.07499999999998863,-0.07814535035164223,-0.005,-0.005,95.9,96.925,95.9,95.9,95.905,716,716,941648808,IBJ2026,2026-04-01,2026-03-19,2026-03-20T04:43:40Z,4.099999999999994,4.094999999999999
2026-05-27,2026-03-20,2026-03-19,95.76,95.735,-0.08499999999999375,-0.08870336551003782,-0.02,-0.021,95.74000000000001,97.015,95.75,95.74000000000001,95.76,101,101,949242588,IBK2026,2026-05-01,2026-03-19,2026-03-20T04:43:40Z,4.259999999999991,4.239999999999995
2026-06-28,2026-03-20,2026-03-19,95.675,95.65,-0.10999999999999943,-0.11485851519264846,-0.035,-0.037,95.66,96.97500000000001,95.68,95.66,95.69500000000001,100,100,955528239,IBM2026,2026-06-01,2026-03-19,2026-03-20T04:43:40Z,4.340000000000003,4.304999999999993
2026-07-29,2026-03-20,2026-03-19,95.62,95.595,-0.1699999999999875,-0.17753642107460446,-0.06,-0.063,95.58500000000001,96.075,95.645,95.58500000000001,95.645,76,76,962344067,IBN2026,2026-07-01,2026-03-19,2026-03-20T04:43:40Z,4.414999999999992,4.355000000000004
2026-08-29,2026-03-11,2026-03-19,95.51,95.485,-0.044999999999987494,-0.04704160568679437,-0.08,-0.084,95.61500000000001,96.15,95.61500000000001,95.61500000000001,95.55,0,0,969160575,IBQ2026,2026-08-01,2026-03-19,2026-03-20T04:43:40Z,4.450000000000003,4.450000000000003
2026-09-28,2026-03-03,2026-03-19,95.45,95.42,0.14500000000001023,0.15167364016737472,-0.09,-0.094,95.745,96.86500000000001,95.745,95.745,95.49,0,0,976225343,IBU2026,2026-09-01,2026-03-19,2026-03-20T04:43:40Z,4.510000000000005,4.510000000000005
2026-10-28,2026-03-20,2026-03-19,95.33500000000001,95.305,-0.2149999999999892,-0.22508375209379106,-0.12,-0.126,95.305,96.86500000000001,95.465,95.305,95.425,152,152,983956682,IBV2026,2026-10-01,2026-03-19,2026-03-20T04:43:40Z,4.694999999999993,4.575000000000003
2026-11-28,2026-03-19,2026-03-19,95.25,95.22,-0.08499999999999375,-0.08902854150300471,-0.075,-0.079,95.39,96.86500000000001,95.39,95.39,95.36,2,2,990482019,IBX2026,2026-11-01,2026-03-19,2026-03-20T04:43:40Z,4.609999999999999,4.640000000000001
2026-12-29,2026-03-19,2026-03-19,95.235,95.205,-0.14999999999999147,-0.1571338780641017,-0.045,-0.047,95.31,96.86500000000001,95.4,95.31,95.355,1,1,996839036,IBZ2026,2026-12-01,2026-03-19,2026-03-20T04:43:40Z,4.689999999999998,4.644999999999996
2027-01-27,NA,2026-03-19,95.235,95.205,NA,0,NA,NA,NA,NA,NA,NA,95.355,0,0,1004041830,IBF2027,2027-01-01,2026-03-19,2026-03-20T04:43:40Z,4.644999999999996,4.644999999999996
2027-02-24,NA,2026-03-19,95.235,95.205,NA,0,NA,NA,NA,NA,NA,NA,95.355,0,0,1010033436,IBG2027,2027-02-01,2026-03-19,2026-03-20T04:43:40Z,4.644999999999996,4.644999999999996
2027-03-29,NA,2026-03-19,95.235,95.205,NA,0,NA,NA,NA,NA,NA,NA,95.36,0,0,1016946091,IBH2027,2027-03-01,2026-03-19,2026-03-20T04:43:40Z,4.640000000000001,4.640000000000001
2027-04-28,NA,2026-03-19,95.24,95.21000000000001,NA,0,NA,NA,NA,NA,NA,NA,95.365,0,0,1026315950,IBJ2027,2027-04-01,2026-03-19,2026-03-20T04:43:40Z,4.635000000000005,4.635000000000005
2027-05-29,NA,2026-03-19,95.26,95.23,NA,0,NA,NA,NA,NA,NA,NA,95.385,0,0,1033478754,IBK2027,2027-05-01,2026-03-19,2026-03-20T04:43:40Z,4.614999999999995,4.614999999999995
2027-06-28,NA,2026-03-19,95.27,95.24,NA,0,NA,NA,NA,NA,NA,NA,95.4,0,0,1041047069,IBM2027,2027-06-01,2026-03-19,2026-03-20T04:43:40Z,4.599999999999994,4.599999999999994
2027-07-28,NA,2026-03-19,95.295,95.265,NA,0,NA,NA,NA,NA,NA,NA,95.425,0,0,1048381155,IBN2027,2027-07-01,2026-03-19,2026-03-20T04:43:40Z,4.575000000000003,4.575000000000003
2027-08-29,NA,2026-03-19,95.31,95.28,NA,0,NA,NA,NA,NA,NA,NA,95.44,0,0,1056394462,IBQ2027,2027-08-01,2026-03-19,2026-03-20T04:43:40Z,4.560000000000002,4.560000000000002
