date,cash_rate,scrape_date,scrape_time
2025-09-01,3.5999999999999943,2025-09-09,2025-09-10T04:14:36Z
2025-10-01,3.569999999999993,2025-09-09,2025-09-10T04:14:36Z
2025-11-01,3.394999999999996,2025-09-09,2025-09-10T04:14:36Z
2025-12-01,3.3299999999999983,2025-09-09,2025-09-10T04:14:36Z
2026-01-01,3.2749999999999915,2025-09-09,2025-09-10T04:14:36Z
2026-02-01,3.2049999999999983,2025-09-09,2025-09-10T04:14:36Z
2026-03-01,3.069999999999993,2025-09-09,2025-09-10T04:14:36Z
2026-04-01,3.075000000000003,2025-09-09,2025-09-10T04:14:36Z
2026-05-01,2.9849999999999994,2025-09-09,2025-09-10T04:14:36Z
2026-06-01,3.0249999999999915,2025-09-09,2025-09-10T04:14:36Z
2026-07-01,3.094999999999999,2025-09-09,2025-09-10T04:14:36Z
2026-08-01,3.0900000000000034,2025-09-09,2025-09-10T04:14:36Z
2026-09-01,3.0900000000000034,2025-09-09,2025-09-10T04:14:36Z
2026-10-01,3.0900000000000034,2025-09-09,2025-09-10T04:14:36Z
2026-11-01,3.094999999999999,2025-09-09,2025-09-10T04:14:36Z
2026-12-01,3.0999999999999943,2025-09-09,2025-09-10T04:14:36Z
2027-01-01,3.105000000000004,2025-09-09,2025-09-10T04:14:36Z
2027-02-01,3.1200000000000045,2025-09-09,2025-09-10T04:14:36Z
