dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-09-28,2026-09-21,2026-09-18,95.645,95.64,0,0,0,0,95.645,96.86500000000001,95.64,95.645,95.645,50,50,976225343,IBU2026,2026-09-01,2026-09-18,2026-09-21T01:29:36Z,4.355000000000004,4.355000000000004
2026-10-28,2026-09-20,2026-09-18,95.43,95.425,-0.029999999999986926,-0.03142677561280843,-0.005,-0.005,95.43,96.86500000000001,95.43,95.43,95.435,581,581,983956682,IBV2026,2026-10-01,2026-09-18,2026-09-21T01:29:36Z,4.569999999999993,4.564999999999998
2026-11-28,2026-09-21,2026-09-18,95.315,95.305,-0.03999999999999204,-0.04195070791818777,-0.005,-0.005,95.31,96.86500000000001,95.31,95.31,95.315,104,104,990482019,IBX2026,2026-11-01,2026-09-18,2026-09-21T01:29:36Z,4.689999999999998,4.685000000000002
2026-12-29,2026-09-21,2026-09-18,95.275,95.255,-0.020000000000010232,-0.020988561234138135,-0.005,-0.005,95.27,96.86500000000001,95.27,95.27,95.275,5,5,996839036,IBZ2026,2026-12-01,2026-09-18,2026-09-21T01:29:36Z,4.730000000000004,4.724999999999994
2027-01-27,2026-09-15,2026-09-18,95.26,95.235,-0.015000000000000568,-0.015742246943380982,-0.015,-0.016,95.27,95.415,95.27,95.27,95.265,0,0,1004041830,IBF2027,2027-01-01,2026-09-18,2026-09-21T01:29:36Z,4.734999999999999,4.734999999999999
2027-02-24,2026-09-15,2026-09-18,95.19,95.165,-0.009999999999990905,-0.010503098414022588,-0.01,-0.011,95.2,95.52,95.2,95.2,95.19500000000001,0,0,1010033436,IBG2027,2027-02-01,2026-09-18,2026-09-21T01:29:36Z,4.804999999999993,4.804999999999993
2027-03-29,2026-09-18,2026-09-18,95.14,95.11,-0.024999999999991473,-0.02627154266497633,-0.01,-0.011,95.135,95.2,95.135,95.135,95.14,1,1,1016946091,IBH2027,2027-03-01,2026-09-18,2026-09-21T01:29:36Z,4.864999999999995,4.859999999999999
2027-04-28,2026-08-20,2026-09-18,95.10000000000001,95.07000000000001,0.3500000000000085,0.36797560847396155,0,0,95.465,95.48,95.46000000000001,95.465,95.105,0,0,1026315950,IBJ2027,2027-04-01,2026-09-18,2026-09-21T01:29:36Z,4.894999999999996,4.894999999999996
2027-05-29,2026-09-11,2026-09-18,95.045,95.015,-0.06999999999999318,-0.07361834148392826,-0.17500000000000002,-0.184,95.015,95.51,95.015,95.015,95.065,0,0,1033478754,IBK2027,2027-05-01,2026-09-18,2026-09-21T01:29:36Z,4.935000000000002,4.935000000000002
2027-06-28,NA,2026-09-18,95.035,95.005,NA,0,NA,NA,NA,NA,NA,NA,95.06,0,0,1041047069,IBM2027,2027-06-01,2026-09-18,2026-09-21T01:29:36Z,4.939999999999998,4.939999999999998
2027-07-28,NA,2026-09-18,95.03,95,NA,0,NA,NA,NA,NA,NA,NA,95.055,0,0,1048381155,IBN2027,2027-07-01,2026-09-18,2026-09-21T01:29:36Z,4.944999999999993,4.944999999999993
2027-08-29,NA,2026-09-18,95.03,95,NA,0,NA,NA,NA,NA,NA,NA,95.055,0,0,1056394462,IBQ2027,2027-08-01,2026-09-18,2026-09-21T01:29:36Z,4.944999999999993,4.944999999999993
2027-09-28,NA,2026-09-18,95.03,95,NA,0,NA,NA,NA,NA,NA,NA,95.055,0,0,1065438498,IBU2027,2027-09-01,2026-09-18,2026-09-21T01:29:36Z,4.944999999999993,4.944999999999993
2027-10-27,2026-09-11,2026-09-18,95.035,95.005,-0.08499999999999375,-0.08941721018303571,-0.215,-0.226,94.97500000000001,95.74000000000001,94.97500000000001,94.97500000000001,95.06,0,0,1073003941,IBV2027,2027-10-01,2026-09-18,2026-09-21T01:29:36Z,4.939999999999998,4.939999999999998
2027-11-28,NA,2026-09-18,95.055,95.025,NA,0,NA,NA,NA,NA,NA,NA,95.08,0,0,1081768076,IBX2027,2027-11-01,2026-09-18,2026-09-21T01:29:36Z,4.920000000000002,4.920000000000002
2027-12-29,NA,2026-09-18,95.075,95.045,NA,0,NA,NA,NA,NA,NA,NA,95.10000000000001,0,0,1089939586,IBZ2027,2027-12-01,2026-09-18,2026-09-21T01:29:36Z,4.8999999999999915,4.8999999999999915
2028-01-29,NA,2026-09-18,95.095,95.065,NA,0,NA,NA,NA,NA,NA,NA,95.12,0,0,1098735700,IBF2028,2028-01-01,2026-09-18,2026-09-21T01:29:36Z,4.8799999999999955,4.8799999999999955
2028-02-27,NA,2026-09-18,95.13,95.10000000000001,NA,0,NA,NA,NA,NA,NA,NA,95.16,0,0,1106206220,IBG2028,2028-02-01,2026-09-18,2026-09-21T01:29:36Z,4.840000000000003,4.840000000000003
