dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-11-26,2025-11-12,2025-11-13,96.405,96.4,0,0,-0.005,-0.005,96.4,97.125,96.4,96.4,96.405,0,0,888966960,IBX2025,2025-11-01,2025-11-13,2025-11-13T18:31:39Z,3.594999999999999
2025-12-29,2025-11-13,2025-11-13,96.41,96.405,-0.025000000000005684,-0.02592554184383043,-0.02,-0.021,96.405,97.19,96.405,96.405,96.41,4706,4706,895208763,IBZ2025,2025-12-01,2025-11-13,2025-11-13T18:31:39Z,3.594999999999999
2026-01-28,2025-11-13,2025-11-13,96.415,96.41,-0.025000000000005684,-0.025924197646088748,-0.02,-0.021,96.41,97.105,96.41,96.41,96.41,262,262,919010878,IBF2026,2026-01-01,2025-11-13,2025-11-13T18:31:39Z,3.5900000000000034
2026-02-25,2025-11-13,2025-11-13,96.45,96.435,-0.06499999999999773,-0.06735402310760866,-0.025,-0.026000000000000002,96.44,97.065,96.42,96.44,96.435,678,678,928464846,IBG2026,2026-02-01,2025-11-13,2025-11-13T18:31:39Z,3.5600000000000023
2026-03-29,2025-11-13,2025-11-13,NA,NA,-0.06499999999999773,-0.06734704450085244,-0.035,-0.036000000000000004,96.45,97.105,96.435,96.45,96.44,53,53,935346173,IBH2026,2026-03-01,2025-11-13,2025-11-13T18:31:39Z,3.549999999999997
2026-04-28,2025-11-13,2025-11-13,96.485,NA,-0.07000000000000739,-0.07252007252008018,-0.05,-0.052000000000000005,96.455,96.925,96.44,96.455,96.46000000000001,510,510,941648808,IBJ2026,2026-04-01,2025-11-13,2025-11-13T18:31:39Z,3.5450000000000017
2026-05-27,2025-11-13,2025-11-13,NA,NA,-0.0899999999999892,-0.09318699523709795,-0.06,-0.062,96.49000000000001,97.015,96.49000000000001,96.49000000000001,96.485,5,5,949242588,IBK2026,2026-05-01,2025-11-13,2025-11-13T18:31:39Z,3.509999999999991
2026-06-28,2025-07-21,2025-11-13,NA,NA,0.3850000000000051,0.39859198674811586,NA,NA,96.97500000000001,96.97500000000001,96.97500000000001,96.97500000000001,96.49000000000001,0,0,955528239,IBM2026,2026-06-01,2025-11-13,2025-11-13T18:31:39Z,3.509999999999991
2026-07-29,NA,2025-11-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.49000000000001,0,0,962344067,IBN2026,2026-07-01,2025-11-13,2025-11-13T18:31:39Z,NA
2026-08-29,NA,2025-11-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.48,0,0,969160575,IBQ2026,2026-08-01,2025-11-13,2025-11-13T18:31:39Z,NA
2026-09-28,2025-11-04,2025-11-13,NA,NA,-0.01999999999999602,-0.020701790704891854,-0.02,-0.021,96.59,96.86500000000001,96.59,96.59,96.47500000000001,0,0,976225343,IBU2026,2026-09-01,2025-11-13,2025-11-13T18:31:39Z,3.5249999999999915
2026-10-28,2025-11-04,2025-11-13,NA,NA,-0.025000000000005684,-0.025878577713374755,-0.035,-0.036000000000000004,96.58,96.86500000000001,96.58,96.58,96.46000000000001,0,0,983956682,IBV2026,2026-10-01,2025-11-13,2025-11-13T18:31:39Z,3.539999999999992
2026-11-28,2025-11-04,2025-11-13,NA,NA,-0.01999999999999602,-0.02070393374740789,-0.03,-0.031,96.58,96.86500000000001,96.58,96.58,96.44500000000001,0,0,990482019,IBX2026,2026-11-01,2025-11-13,2025-11-13T18:31:39Z,3.5549999999999926
2026-12-29,2025-11-04,2025-11-13,NA,NA,-0.030000000000001137,-0.031059115850503298,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.425,0,0,996839036,IBZ2026,2026-12-01,2025-11-13,2025-11-13T18:31:39Z,3.575000000000003
2027-01-27,NA,2025-11-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.42,0,0,1004041830,IBF2027,2027-01-01,2025-11-13,2025-11-13T18:31:39Z,NA
2027-02-24,NA,2025-11-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.4,0,0,1010033436,IBG2027,2027-02-01,2025-11-13,2025-11-13T18:31:39Z,NA
2027-03-29,NA,2025-11-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.385,0,0,1016946091,IBH2027,2027-03-01,2025-11-13,2025-11-13T18:31:39Z,NA
2027-04-28,NA,2025-11-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.37,0,0,1026315950,IBJ2027,2027-04-01,2025-11-13,2025-11-13T18:31:39Z,NA
