dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-11-26,2025-11-18,2025-11-18,96.405,96.4,0,0,-0.005,-0.005,96.4,97.125,96.4,96.4,96.405,27,27,888966960,IBX2025,2025-11-01,2025-11-18,2025-11-19T02:31:09Z,3.5999999999999943
2025-12-29,2025-11-18,2025-11-18,96.415,96.41,-0.015000000000000568,-0.01555613170858239,0,0,96.41,97.19,96.405,96.41,96.415,3465,3465,895208763,IBZ2025,2025-12-01,2025-11-18,2025-11-19T02:31:09Z,3.5900000000000034
2026-01-28,2025-11-19,2025-11-18,96.42,96.41,-0.015000000000000568,-0.01555532510629531,-0.005,-0.005,96.415,97.105,96.415,96.415,96.42,250,250,919010878,IBF2026,2026-01-01,2025-11-18,2025-11-19T02:31:09Z,3.5849999999999937
2026-02-25,2025-11-19,2025-11-18,96.48,96.465,-0.0049999999999954525,-0.005182152666212834,0.005,0.005,96.48,97.065,96.42,96.48,96.47500000000001,1,1,928464846,IBG2026,2026-02-01,2025-11-18,2025-11-19T02:31:09Z,3.519999999999996
2026-03-29,2025-11-19,2025-11-18,96.505,96.485,0.015000000000000568,0.01554645799865323,0.015,0.016,96.5,97.105,96.435,96.5,96.485,2,2,935346173,IBH2026,2026-03-01,2025-11-18,2025-11-19T02:31:09Z,3.5
2026-04-28,2025-11-19,2025-11-18,96.52,96.5,0.010000000000005116,0.010362157401176226,0.015,0.016,96.515,96.925,96.44,96.515,96.5,7,7,941648808,IBJ2026,2026-04-01,2025-11-18,2025-11-19T02:31:09Z,3.4849999999999994
2026-05-27,2025-11-13,2025-11-18,96.56,96.53,-0.05999999999998806,-0.06214396685653865,-0.06,-0.062,96.49000000000001,97.015,96.49000000000001,96.49000000000001,96.535,0,0,949242588,IBK2026,2026-05-01,2025-11-18,2025-11-19T02:31:09Z,3.4650000000000034
2026-06-28,2025-11-18,2025-11-18,96.565,96.535,-0.0350000000000108,-0.036248770131024594,0.02,0.021,96.52,96.97500000000001,96.52,96.52,96.53,50,50,955528239,IBM2026,2026-06-01,2025-11-18,2025-11-19T02:31:09Z,3.480000000000004
2026-07-29,NA,2025-11-18,96.565,96.535,NA,0,NA,NA,NA,NA,NA,NA,96.535,0,0,962344067,IBN2026,2026-07-01,2025-11-18,2025-11-19T02:31:09Z,NA
2026-08-29,NA,2025-11-18,96.555,96.525,NA,0,NA,NA,NA,NA,NA,NA,96.53,0,0,969160575,IBQ2026,2026-08-01,2025-11-18,2025-11-19T02:31:09Z,NA
2026-09-28,2025-11-04,2025-11-18,96.55,96.52,0.020000000000010232,0.020710365537962343,-0.02,-0.021,96.59,96.86500000000001,96.59,96.59,96.525,0,0,976225343,IBU2026,2026-09-01,2025-11-18,2025-11-19T02:31:09Z,3.4749999999999943
2026-10-28,2025-11-04,2025-11-18,96.545,96.515,0.015000000000000568,0.015533578418682307,-0.035,-0.036000000000000004,96.58,96.86500000000001,96.58,96.58,96.515,0,0,983956682,IBV2026,2026-10-01,2025-11-18,2025-11-19T02:31:09Z,3.4849999999999994
2026-11-28,2025-11-04,2025-11-18,96.53,96.5,0.024999999999991473,0.02589197866500075,-0.03,-0.031,96.58,96.86500000000001,96.58,96.58,96.495,0,0,990482019,IBX2026,2026-11-01,2025-11-18,2025-11-19T02:31:09Z,3.5049999999999955
2026-12-29,2025-11-04,2025-11-18,96.52,96.49000000000001,0.015000000000000568,0.01553679631260093,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.485,0,0,996839036,IBZ2026,2026-12-01,2025-11-18,2025-11-19T02:31:09Z,3.5150000000000006
2027-01-27,NA,2025-11-18,96.515,96.485,NA,0,NA,NA,NA,NA,NA,NA,96.48,0,0,1004041830,IBF2027,2027-01-01,2025-11-18,2025-11-19T02:31:09Z,NA
2027-02-24,NA,2025-11-18,96.505,96.47500000000001,NA,0,NA,NA,NA,NA,NA,NA,96.47,0,0,1010033436,IBG2027,2027-02-01,2025-11-18,2025-11-19T02:31:09Z,NA
2027-03-29,NA,2025-11-18,96.495,96.465,NA,0,NA,NA,NA,NA,NA,NA,96.46000000000001,0,0,1016946091,IBH2027,2027-03-01,2025-11-18,2025-11-19T02:31:09Z,NA
2027-04-28,NA,2025-11-18,96.48,96.45,NA,0,NA,NA,NA,NA,NA,NA,96.45,0,0,1026315950,IBJ2027,2027-04-01,2025-11-18,2025-11-19T02:31:09Z,NA
