"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2026-05-05,2024-12-02,"0.10%",-300,0.1,0
2026-05-05,2024-12-02,"0.35%",-300,0.35,0
2026-05-05,2024-12-02,"0.60%",-300,0.6,0
2026-05-05,2024-12-02,"0.85%",-275,0.85,0
2026-05-05,2024-12-02,"1.10%",-250,1.1,0
2026-05-05,2024-12-02,"1.35%",-225,1.35,0
2026-05-05,2024-12-02,"1.60%",-200,1.6,0
2026-05-05,2024-12-02,"1.85%",-175,1.85,0
2026-05-05,2024-12-02,"2.10%",-150,2.1,0
2026-05-05,2024-12-02,"2.35%",-125,2.35,0.016082691310125
2026-05-05,2024-12-02,"2.60%",-100,2.6,0.0361710373357022
2026-05-05,2024-12-02,"2.85%",-75,2.85,0.0685797969277495
2026-05-05,2024-12-02,"3.10%",-50,3.1,0.109616520609823
2026-05-05,2024-12-02,"3.35%",-25,3.35,0.147709710740163
2026-05-05,2024-12-02,"3.60%",0,3.6,0.167803434639093
2026-05-05,2024-12-02,"3.85%",25,3.85,0.160714030617078
2026-05-05,2024-12-02,"4.10%",50,4.1,0.129767841566864
2026-05-05,2024-12-02,"4.35%",75,4.35,0.0883357943015168
2026-05-05,2024-12-02,"4.60%",100,4.6,0.050693886403352
2026-05-05,2024-12-02,"4.85%",125,4.85,0.0245252555485334
2026-05-05,2024-12-02,"5.10%",150,5.1,0
2026-05-05,2024-12-02,"5.35%",175,5.35,0
2026-05-05,2024-12-02,"5.60%",200,5.6,0
2026-05-05,2024-12-02,"5.85%",225,5.85,0
2026-05-05,2024-12-02,"6.10%",250,6.1,0
2026-05-05,2024-12-03,"0.10%",-300,0.1,0
2026-05-05,2024-12-03,"0.35%",-300,0.35,0
2026-05-05,2024-12-03,"0.60%",-300,0.6,0
2026-05-05,2024-12-03,"0.85%",-275,0.85,0
2026-05-05,2024-12-03,"1.10%",-250,1.1,0
2026-05-05,2024-12-03,"1.35%",-225,1.35,0
2026-05-05,2024-12-03,"1.60%",-200,1.6,0
2026-05-05,2024-12-03,"1.85%",-175,1.85,0
2026-05-05,2024-12-03,"2.10%",-150,2.1,0
2026-05-05,2024-12-03,"2.35%",-125,2.35,0.0127366804068154
2026-05-05,2024-12-03,"2.60%",-100,2.6,0.0326011879446311
2026-05-05,2024-12-03,"2.85%",-75,2.85,0.068051667136129
2026-05-05,2024-12-03,"3.10%",-50,3.1,0.115849698043229
2026-05-05,2024-12-03,"3.35%",-25,3.35,0.160849063242742
2026-05-05,2024-12-03,"3.60%",0,3.6,0.182146196231635
2026-05-05,2024-12-03,"3.85%",25,3.85,0.168230062148821
2026-05-05,2024-12-03,"4.10%",50,4.1,0.126726220355028
2026-05-05,2024-12-03,"4.35%",75,4.35,0.0778573642390816
2026-05-05,2024-12-03,"4.60%",100,4.6,0.0390110736787172
2026-05-05,2024-12-03,"4.85%",125,4.85,0.0159407865731716
2026-05-05,2024-12-03,"5.10%",150,5.1,0
2026-05-05,2024-12-03,"5.35%",175,5.35,0
2026-05-05,2024-12-03,"5.60%",200,5.6,0
2026-05-05,2024-12-03,"5.85%",225,5.85,0
2026-05-05,2024-12-03,"6.10%",250,6.1,0
2026-05-05,2024-12-04,"0.10%",-300,0.1,0
2026-05-05,2024-12-04,"0.35%",-300,0.35,0
2026-05-05,2024-12-04,"0.60%",-300,0.6,0
2026-05-05,2024-12-04,"0.85%",-275,0.85,0
2026-05-05,2024-12-04,"1.10%",-250,1.1,0
2026-05-05,2024-12-04,"1.35%",-225,1.35,0
2026-05-05,2024-12-04,"1.60%",-200,1.6,0
2026-05-05,2024-12-04,"1.85%",-175,1.85,0
2026-05-05,2024-12-04,"2.10%",-150,2.1,0
2026-05-05,2024-12-04,"2.35%",-125,2.35,0.0166909810751593
2026-05-05,2024-12-04,"2.60%",-100,2.6,0.042272097432671
2026-05-05,2024-12-04,"2.85%",-75,2.85,0.0857578820905337
2026-05-05,2024-12-04,"3.10%",-50,3.1,0.13937048469288
2026-05-05,2024-12-04,"3.35%",-25,3.35,0.181452877568175
2026-05-05,2024-12-04,"3.60%",0,3.6,0.189262287456679
2026-05-05,2024-12-04,"3.85%",25,3.85,0.158151470275495
2026-05-05,2024-12-04,"4.10%",50,4.1,0.105872671796047
2026-05-05,2024-12-04,"4.35%",75,4.35,0.0567779310278278
2026-05-05,2024-12-04,"4.60%",100,4.6,0.0243913165845313
2026-05-05,2024-12-04,"4.85%",125,4.85,0
2026-05-05,2024-12-04,"5.10%",150,5.1,0
2026-05-05,2024-12-04,"5.35%",175,5.35,0
2026-05-05,2024-12-04,"5.60%",200,5.6,0
2026-05-05,2024-12-04,"5.85%",225,5.85,0
2026-05-05,2024-12-04,"6.10%",250,6.1,0
2026-05-05,2024-12-05,"0.10%",-300,0.1,0
2026-05-05,2024-12-05,"0.35%",-300,0.35,0
2026-05-05,2024-12-05,"0.60%",-300,0.6,0
2026-05-05,2024-12-05,"0.85%",-275,0.85,0
